"scenario","method","dose","n_replicates","p_eff_true","p_eff_mean","p_eff_bias","p_eff_rmse","p_eff_coverage_95","p_eff_interval_width","q_eff_true","q_eff_mean","q_eff_bias","q_eff_rmse","q_eff_coverage_95","q_eff_interval_width","r_eff_true","r_eff_mean","r_eff_bias","r_eff_rmse","r_eff_coverage_95","r_eff_interval_width"
"sce4","fixed_beta",1,100,0.01,0.0326247216157827,0.0226247216157827,0.037270608902778,1,0.198401618884059,0.01,0.0612706686476907,0.0512706686476906,0.0587425248069235,0.97,0.396757580920658,0,0.0295806179304538,0.0295806179304538,0.0299540835835736,0,0.350908134388212
"sce4","fixed_beta",2,100,0.05,0.0875634286596207,0.0375634286596207,0.0730531091499776,0.99,0.326830990433357,0.053,0.128360985963015,0.0753609859630154,0.106354400611688,0.96,0.417940603656684,0.00315789473684211,0.0445790985454589,0.0414212038086168,0.0513006542223944,1,0.299243014208073
"sce4","fixed_beta",3,100,0.1,0.146570976481759,0.0465709764817595,0.101528471662735,0.98,0.41481894580633,0.115,0.210727938557679,0.0957279385576794,0.140574301006604,0.98,0.513755578331256,0.0166666666666667,0.0747221335061699,0.0580554668395033,0.0740925178521143,1,0.389373576292941
"sce4","fixed_beta",4,100,0.2,0.23197833665327,0.0319783366532703,0.112472198925191,1,0.517734838048421,0.23,0.326464223717295,0.0964642237172947,0.151402419058207,0.98,0.593038768365948,0.0375,0.120355034806453,0.0828550348064525,0.103872656364137,1,0.50504129456338
"sce4","fixed_beta",5,100,0.4,0.423115300530454,0.0231153005304543,0.152492718402598,0.97,0.625399582617311,0.46,0.541376013200841,0.0813760132008411,0.16621835439174,0.92,0.614091299130097,0.1,0.196843541822598,0.0968435418225984,0.138141737512147,1,0.648192600780553
"sce4","hierarchical_beta",1,100,0.01,0.0726258602496131,0.062625860249613,0.0734820526984106,0.94,0.292086019127723,0.01,0.186159319758282,0.176159319758282,0.185841317616579,0.93,0.719491654500042,0,0.122008538557387,0.122008538557387,0.132729780951894,0,0.692858922264915
"sce4","hierarchical_beta",2,100,0.05,0.0924538423133557,0.0424538423133557,0.0747492539537317,0.97,0.32461786784574,0.053,0.158585514334719,0.105585514334719,0.132187994314997,0.94,0.45366298806782,0.00315789473684211,0.0722533823249824,0.0690954875881403,0.0855902508493242,1,0.36058883466555
"sce4","hierarchical_beta",3,100,0.1,0.12210749067795,0.02210749067795,0.0899804928270617,0.98,0.367835426096775,0.115,0.193266578875211,0.0782665788752111,0.130917442117015,0.97,0.481685014588871,0.0166666666666667,0.0800066691529368,0.0633400024862702,0.0895257427021463,1,0.383404845293799
"sce4","hierarchical_beta",4,100,0.2,0.169990160937144,-0.0300098390628562,0.108577203695582,0.96,0.431389859397762,0.23,0.256909573074252,0.0269095730742515,0.120913230041256,1,0.540261282357619,0.0375,0.100634084309777,0.0631340843097769,0.101789708983035,1,0.439071736326759
"sce4","hierarchical_beta",5,100,0.4,0.319005428626568,-0.0809945713734322,0.175124353678296,0.92,0.578861914798779,0.46,0.42238535081721,-0.03761464918279,0.158854864152263,0.96,0.622764310613721,0.1,0.1378796657682,0.0378796657681997,0.123248455746949,1,0.565025893021499
"sce5","fixed_beta",1,100,0.1,0.099650442294355,-0.000349557705644986,0.0789594646936366,1,0.326038936278365,0.1,0.125722030057894,0.0257220300578936,0.0805592445236522,1,0.458628561323962,0,0.0288989246733608,0.0288989246733608,0.0292263807876218,0,0.330633537010919
"sce5","fixed_beta",2,100,0.2,0.175265503401868,-0.0247344965981319,0.119417484518645,0.99,0.448338652867914,0.23,0.239228156388674,0.0092281563886735,0.126487669865602,0.99,0.523617285971874,0.0375,0.0744580381608363,0.0369580381608363,0.0675034368674736,1,0.403990932382509
"sce5","fixed_beta",3,100,0.4,0.363310188816429,-0.0366898111835709,0.149259936346437,0.98,0.608929003585195,0.46,0.462072471947072,0.00207247194707213,0.133090475554868,0.99,0.630113229162027,0.1,0.14271763143459,0.0427176314345897,0.0829067983642249,1,0.6054577423397
"sce5","fixed_beta",4,100,0.4,0.402128545992574,0.00212854599257444,0.164186898229974,0.92,0.623566077440304,0.52,0.531329550526673,0.0113295505266729,0.150895080835955,0.95,0.621845254357402,0.2,0.19998652085203,-1.34791479703195e-05,0.107142883271023,1,0.673745026245595
"sce5","fixed_beta",5,100,0.4,0.424354672532095,0.0243546725320945,0.154225466950592,0.97,0.630842787169094,0.52,0.551911004329778,0.0319110043297778,0.148189797007427,0.98,0.612240124774349,0.2,0.213785825874961,0.0137858258749605,0.0974359869050808,1,0.678533666833155
"sce5","hierarchical_beta",1,100,0.1,0.183056919563361,0.0830569195633607,0.123632171734365,0.96,0.434308643221067,0.1,0.341756929577397,0.241756929577397,0.26219365625923,0.89,0.79351292704915,0,0.19100423337762,0.19100423337762,0.21481846849731,0,0.793251319922255
"sce5","hierarchical_beta",2,100,0.2,0.21580571376283,0.0158057137628296,0.115323275572287,0.96,0.472259068431644,0.23,0.330207826814968,0.100207826814968,0.160148495378794,0.96,0.594474755469873,0.0375,0.140294617902082,0.102794617902082,0.14111523211466,0.99,0.533727902024848
"sce5","hierarchical_beta",3,100,0.4,0.340654615055933,-0.0593453849440674,0.150186257903928,0.96,0.576998228801545,0.46,0.474122408301341,0.0141224083013412,0.128519471509608,1,0.630708315532641,0.1,0.186168863564468,0.0861688635644683,0.144974120957012,1,0.642625591640318
"sce5","hierarchical_beta",4,100,0.4,0.354062248630053,-0.0459377513699474,0.170807066353612,0.92,0.580623409905704,0.52,0.504663208374988,-0.0153367916250122,0.158432575346279,0.93,0.622062776409073,0.2,0.210395155839037,0.0103951558390371,0.162173263934012,0.99,0.659161665365451
"sce5","hierarchical_beta",5,100,0.4,0.344996009170525,-0.0550039908294753,0.155983905736625,0.93,0.57573269460604,0.52,0.485994087538795,-0.0340059124612049,0.153903476343932,0.96,0.616087999766598,0.2,0.20048012345791,0.000480123457910368,0.144599549795537,1,0.645218010824836
