"dose","p_eff_hat","p_eff_lcl","p_eff_ucl","r_eff_hat","r_eff_lcl","r_eff_ucl","q_eff_hat","q_eff_lcl","q_eff_ucl","p_eff_true","q_eff_true","r_eff_true","nR","eR","nI","eI","alpha_eff_true","scenario","replicate","method"
2,0.169167302119582,5.6139569499366e-05,0.560998926943702,0.243799714390597,1.0410484598998e-07,0.789600821163704,0.387289186544013,0.0679164132382135,0.795752129460073,0.35,0.41,0.0923076923076923,3,0,3,2,0.3,"sce1",10,"fixed_beta"
3,0.393236870062612,0.077116173438375,0.72557090493138,0.168445221642819,1.21943932018559e-07,0.693815411457634,0.506011752901182,0.183765620276552,0.82837306386305,0.35,0.455,0.161538461538461,3,1,3,2,0.3,"sce1",10,"fixed_beta"
4,0.101075132617244,0.00156004367235541,0.310696923548355,0.0720802773262084,1.25783968429754e-06,0.397367287967408,0.166338894601932,0.00659326785563169,0.486377320779639,0.35,0.455,0.161538461538461,3,0,3,0,0.3,"sce1",10,"fixed_beta"
5,0.347250035787189,0.0624687825971887,0.7079001638553,0.150995814677787,0.000109644362729604,0.563938752685953,0.448187830919841,0.149725432913122,0.775756454556396,0.35,0.455,0.161538461538461,3,1,3,1,0.3,"sce1",10,"fixed_beta"
1,0.0724308617285423,2.10025644399897e-07,0.276958770120913,0.23763830220829,8.52552436066619e-11,0.874983710212148,0.293662497419154,0.000890286881849376,0.878016934327517,0.2,0.2,0,6,0,0,0,0.3,"sce1",10,"hierarchical_beta"
2,0.153925067493804,5.21021589959461e-06,0.550032142151757,0.327678861779596,7.84740299212098e-06,0.832098759268491,0.449393191418266,0.103307947194277,0.842773002192987,0.35,0.41,0.0923076923076923,3,0,3,2,0.3,"sce1",10,"hierarchical_beta"
3,0.300443460177254,0.0433457556705714,0.691948100993882,0.280845403477516,6.86448221967918e-08,0.829746646344218,0.507805505845769,0.194910729053081,0.883617330588783,0.35,0.455,0.161538461538461,3,1,3,2,0.3,"sce1",10,"hierarchical_beta"
4,0.0712972896213679,9.63724754038257e-07,0.305115989192247,0.119206707300322,1.00079126293797e-12,0.522479035685834,0.181224503787032,0.000874315106045522,0.588411645274185,0.35,0.455,0.161538461538461,3,0,3,0,0.3,"sce1",10,"hierarchical_beta"
5,0.23549684442262,0.0193752323554165,0.576947213955243,0.179566430266443,2.21838013847764e-07,0.592857847189213,0.376606662262851,0.0856495363217297,0.728438788702162,0.35,0.455,0.161538461538461,3,1,3,1,0.3,"sce1",10,"hierarchical_beta"
1,0.137667469695517,0.00616439376732577,0.453798533822544,0.0236155321251004,8.14395264595015e-36,0.246024536847851,0.158604586617505,0.00777231864681843,0.543641576901452,0.2,0.2,0,6,1,0,0,0.3,"sce1",11,"fixed_beta"
2,0.283660864568175,0.039170295430195,0.630660961435572,0.0608737173625705,1.19240912723711e-10,0.381086108576294,0.329211566495515,0.0788068504079734,0.652581263966071,0.35,0.41,0.0923076923076923,3,1,3,1,0.3,"sce1",11,"fixed_beta"
3,0.324851242149664,0.0536621483156843,0.671508086549712,0.0947763156849731,2.50385849103835e-07,0.528830476088921,0.391935419464358,0.089334678130742,0.755908958531238,0.35,0.455,0.161538461538461,3,1,3,1,0.3,"sce1",11,"fixed_beta"
4,0.245389032973331,0.00550161710032963,0.671122333216256,0.247156572116093,2.67287914837801e-05,0.778373557451045,0.448127910728338,0.133951501287978,0.848507123953465,0.35,0.455,0.161538461538461,3,0,3,2,0.3,"sce1",11,"fixed_beta"
5,0.258368916500947,0.0378570856377935,0.601163796782249,0.0947519231850119,0.000166957458911854,0.420187382005257,0.329507543762785,0.0699483043138445,0.653921439153335,0.35,0.455,0.161538461538461,3,1,3,0,0.3,"sce1",11,"fixed_beta"
1,0.222572475705158,0.0313855928352653,0.474898820152043,0.146207293338491,2.33607115528694e-11,0.755101041866052,0.337253890036518,0.0790616083208134,0.791148205162604,0.2,0.2,0,6,1,0,0,0.3,"sce1",11,"hierarchical_beta"
2,0.281267154924942,0.0663134328576629,0.586166044133896,0.115811289427546,4.84973598900854e-17,0.523695204826595,0.367309902684485,0.127918851530738,0.692105954670254,0.35,0.41,0.0923076923076923,3,1,3,1,0.3,"sce1",11,"hierarchical_beta"
3,0.288328285148895,0.0738058500289824,0.588138915402783,0.108289019359896,1.37543292071388e-15,0.493414375692218,0.367603916935489,0.121373118596994,0.71668974482977,0.35,0.455,0.161538461538461,3,1,3,1,0.3,"sce1",11,"hierarchical_beta"
4,0.243330779278984,0.016165739287859,0.549382425306547,0.218768001984983,6.56872417850613e-13,0.815018532801039,0.42110253584982,0.128886910797213,0.856632935977256,0.35,0.455,0.161538461538461,3,0,3,2,0.3,"sce1",11,"hierarchical_beta"
5,0.231916445288398,0.0515535712835192,0.503561572749917,0.0807244271120657,3.41238077499753e-12,0.421348548922206,0.293205349904366,0.0672324199076799,0.641722578625546,0.35,0.455,0.161538461538461,3,1,3,0,0.3,"sce1",11,"hierarchical_beta"
