"Task_ID","Scenario","Source_Scenario","Scenario_Group","Attempt","Allocation","Model_ID","Carryover_Model","Efficacy_Model","Nmax","N_s1","N_s2","n_eval","Cycle_Max","Arrival_Rate","T_assess","True_MTD","True_OBD","Target_Toxicity","Utility_Type","Lambda_T","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","Carryover_Mean","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Duration","Early_Stop_pct","ntrial"
46,24,4,"five_scenarios_txt",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,4,0.3,3,1,5,0.25,0.5,0.203900425390772,0.510661674035067,62.4836834264731,0.128862194476929,93,44.5,8.928,7.261,2.458,30,19.673,1206.72416766453,0,1000
47,27,2,"higher_gap_above_MTD",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,3,0.3,3,1,1,0.11,0.1,0.170762621628053,0.138507973428636,41.4799735405961,0.142013532907948,8.1,13.6,7.788,5.171,2.855,29.061,18.871,1104.29288702961,6.1,1000
47,27,2,"higher_gap_above_MTD",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,3,0.3,3,1,2,0.17,0.2,0.219262079881212,0.23618756322192,45.4007705980667,0.142013532907948,29.2,32.8,9.114,6.779,3.709,29.061,18.871,1104.29288702961,6.1,1000
47,27,2,"higher_gap_above_MTD",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,3,0.3,3,1,3,0.3,0.4,0.315131066652488,0.42649045970881,52.9841849164291,0.142013532907948,48.5,42.3,9.147,7.35,2.835,29.061,18.871,1104.29288702961,6.1,1000
47,27,2,"higher_gap_above_MTD",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,3,0.3,3,1,4,0.5,0.42,0.362917116570204,0.473684528529337,53.904387048952,0.142013532907948,13.2,4.7,2.493,2.214,0.668,29.061,18.871,1104.29288702961,6.1,1000
47,27,2,"higher_gap_above_MTD",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,3,0.3,3,1,5,0.62,0.45,0.45868857868136,0.496568074606019,51.4465413291068,0.142013532907948,0.7,0,0.519,0.469,0.123,29.061,18.871,1104.29288702961,6.1,1000
48,38,38,"user_added",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,5,0.3,3,1,1,0.05,0.05,0.0711202643825191,0.125012012736074,44.6559101888637,0.138352462028542,1,18.5,4.911,3.308,1.746,29.805,18.285,1104.98860017836,1.5,1000
48,38,38,"user_added",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,5,0.3,3,1,2,0.1,0.08,0.101738963273881,0.145946036671759,44.6872036693503,0.138352462028542,2.9,13.1,5.643,4.241,2.698,29.805,18.285,1104.98860017836,1.5,1000
48,38,38,"user_added",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,5,0.3,3,1,3,0.12,0.12,0.172317175709566,0.184189622398375,44.1586903155198,0.138352462028542,14.4,11.1,6.189,4.529,2.599,29.805,18.285,1104.98860017836,1.5,1000
48,38,38,"user_added",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,5,0.3,3,1,4,0.15,0.15,0.212112530450875,0.252058469111916,46.63900692868,0.138352462028542,25.1,12.5,5.349,4.033,2.265,29.805,18.285,1104.98860017836,1.5,1000
48,38,38,"user_added",1,"two_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,5,0.3,3,1,5,0.3,0.5,0.300523394322061,0.482474217974767,56.9275173056036,0.138352462028542,56.6,43.3,7.713,6.273,2.212,29.805,18.285,1104.98860017836,1.5,1000
49,1,1,"base_example",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,1,0.3,0.05,0.346591773876057,0.0806654011118499,30.9762531116687,0.144534940397091,63.9,15.5,11.925,8.069,4.137,19.002,11.973,686.714482991813,71.8,1000
49,1,1,"base_example",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,2,0.35,0.06,0.401149208453795,0.256886330465333,39.3672114897682,0.144534940397091,20.5,7.3,4.917,3.747,2.067,19.002,11.973,686.714482991813,71.8,1000
49,1,1,"base_example",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,3,0.4,0.07,0.49712856804503,0.395500895542674,43.8449110107593,0.144534940397091,4.3,0.9,1.674,1.326,0.628,19.002,11.973,686.714482991813,71.8,1000
49,1,1,"base_example",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,4,0.45,0.08,0.540811702171249,0.468062207112458,46.4512643398975,0.144534940397091,0.5,0.1,0.42,0.349,0.177,19.002,11.973,686.714482991813,71.8,1000
49,1,1,"base_example",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,5,0.5,0.09,0.622416319922703,0.495013959399724,44.8041847670753,0.144534940397091,0.1,0,0.066,0.057,0.02,19.002,11.973,686.714482991813,71.8,1000
50,16,1,"five_scenarios_txt",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,1,0.02,0.2,0.0452064171281924,0.19404955759451,49.8347167705429,0.130730074343439,0,18.7,6.447,4.619,2.237,30,17.894,1068.8763750582,0,1000
50,16,1,"five_scenarios_txt",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,2,0.06,0.2,0.0683198459752293,0.222415418429598,50.6121312667667,0.130730074343439,0.3,29.9,7.41,5.599,3.208,30,17.894,1068.8763750582,0,1000
50,16,1,"five_scenarios_txt",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,3,0.09,0.2,0.125502178345312,0.238278068705069,49.2765969884916,0.130730074343439,1.9,20.9,6.237,4.805,2.656,30,17.894,1068.8763750582,0,1000
50,16,1,"five_scenarios_txt",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,4,0.14,0.2,0.159593740041805,0.247299043832527,48.4541930282794,0.130730074343439,15.5,19.4,5.577,4.362,2.303,30,17.894,1068.8763750582,0,1000
50,16,1,"five_scenarios_txt",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,5,0.26,0.2,0.239086732635083,0.294942312338679,48.1330694349174,0.130730074343439,82.3,11.1,4.329,3.494,1.702,30,17.894,1068.8763750582,0,1000
51,20,5,"five_scenarios_txt",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,1,0.07,0.05,0.152003419020954,0.12079205799898,41.1673867191006,0.147202804462561,2.3,8,5.175,3.526,1.825,29.502,18.658,1086.22706354157,3.2,1000
51,20,5,"five_scenarios_txt",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,2,0.14,0.25,0.198524820562061,0.235224452845634,46.1724743482556,0.147202804462561,14.2,46.2,11.133,8.248,4.473,29.502,18.658,1086.22706354157,3.2,1000
51,20,5,"five_scenarios_txt",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,3,0.31,0.25,0.29230737485233,0.288882324897109,45.6406444997334,0.147202804462561,47.8,33.2,8.652,6.773,2.974,29.502,18.658,1086.22706354157,3.2,1000
51,20,5,"five_scenarios_txt",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,4,0.41,0.25,0.339772854278335,0.362092132777875,48.1346137955391,0.147202804462561,30.7,9.1,3.783,3.177,1.325,29.502,18.658,1086.22706354157,3.2,1000
51,20,5,"five_scenarios_txt",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,5,0.52,0.25,0.436057323717498,0.461081572650985,50.2226014103592,0.147202804462561,4.9,0.5,0.759,0.68,0.247,29.502,18.658,1086.22706354157,3.2,1000
52,24,4,"five_scenarios_txt",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,5,4,0.3,3,1,1,0.01,0.05,0.030300792990735,0.145411220183167,47.5126414913606,0.131698842254903,0,0.6,3.312,2.303,1.047,30,19.528,1193.82960552405,0,1000
52,24,4,"five_scenarios_txt",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,5,4,0.3,3,1,2,0.02,0.08,0.0480765819130191,0.173330063661767,48.4767405431853,0.131698842254903,0,1.3,3.372,2.72,1.766,30,19.528,1193.82960552405,0,1000
52,24,4,"five_scenarios_txt",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,5,4,0.3,3,1,3,0.05,0.2,0.0950623091277061,0.241799392610225,50.7054711915052,0.131698842254903,0.1,2.5,4.233,3.337,1.732,30,19.528,1193.82960552405,0,1000
52,24,4,"five_scenarios_txt",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,5,4,0.3,3,1,4,0.1,0.5,0.124536710167335,0.455154804907317,62.3278198877456,0.131698842254903,38.7,57.1,12.555,9.603,4.052,30,19.528,1193.82960552405,0,1000
52,24,4,"five_scenarios_txt",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,5,4,0.3,3,1,5,0.25,0.5,0.196324033453433,0.506204752980143,62.5193238406712,0.131698842254903,61.2,38.5,6.528,5.216,1.875,30,19.528,1193.82960552405,0,1000
53,27,2,"higher_gap_above_MTD",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,3,3,0.3,3,1,1,0.11,0.1,0.174500446153996,0.142939693305448,41.596363752167,0.139600091530147,5.5,12.3,6.93,4.733,2.461,29.067,19.022,1102.86863154543,6.2,1000
53,27,2,"higher_gap_above_MTD",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,3,3,0.3,3,1,2,0.17,0.2,0.223490907622134,0.225724595832703,44.6038394450768,0.139600091530147,24.3,30.2,8.946,6.733,3.61,29.067,19.022,1102.86863154543,6.2,1000
53,27,2,"higher_gap_above_MTD",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,3,3,0.3,3,1,3,0.3,0.4,0.319925214315693,0.408912553095257,51.7377446130877,0.139600091530147,55.2,44.5,9.87,7.897,3.044,29.067,19.022,1102.86863154543,6.2,1000
53,27,2,"higher_gap_above_MTD",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,3,3,0.3,3,1,4,0.5,0.42,0.367828882167004,0.479543611560587,54.059461406955,0.139600091530147,14,6.2,3.042,2.672,0.859,29.067,19.022,1102.86863154543,6.2,1000
53,27,2,"higher_gap_above_MTD",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,3,3,0.3,3,1,5,0.62,0.45,0.463566844221483,0.501841110805604,51.5677928794769,0.139600091530147,0.7,0.4,0.279,0.255,0.071,29.067,19.022,1102.86863154543,6.2,1000
54,38,38,"user_added",1,"one_stage","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,5,5,0.3,3,1,1,0.05,0.05,0.0713297730247899,0.126030397389449,44.7086329223753,0.138149645331434,0.8,12.7,4.653,3.197,1.623,29.817,18.458,1119.58314169024,1.2,1000
