"Scenario","True_MTD","Model","Method","Nmax_eff","Cycle_Max","Alpha_low","Alpha_high","MTD_sel_low","MTD_sel_high","Drop_pp"
4,5,"CRM","crm_fixed",45,2,0.6,0.9,20.1339,13.9989,6.135
4,5,"CRM","crm_random",45,2,0,0.3,42.9448,34.077,8.8678
4,5,"CRM","crm_random",45,2,0.3,0.6,34.077,27.1054,6.9716
4,5,"CRM","crm_random",45,2,0.6,0.9,27.1054,20.5243,6.5811
4,5,"CRM","crm_level",45,2,0,0.3,43.4467,34.4674,8.9793
4,5,"CRM","crm_level",45,2,0.3,0.6,34.4674,25.9342,8.5332
4,5,"CRM","crm_level",45,2,0.6,0.9,25.9342,19.4646,6.4696
4,5,"CRM","crm_alpha_crm",45,2,0,0.3,49.1355,39.9888,9.1467
4,5,"CRM","crm_alpha_crm",45,2,0.3,0.6,39.9888,31.3441,8.6447
4,5,"CRM","crm_alpha_crm",45,2,0.6,0.9,31.3441,24.8187,6.5254
4,5,"CRM","crm_alpha_crm",45,2,0.9,1.2,24.8187,19.5761,5.2426
4,5,"CRM","crm_alpha_crm",45,2,1.2,1.5,19.5761,13.5527,6.0234
4,5,"CRM","crm_cumu_crm",45,2,0,0.3,60.4573,52.9281,7.5292
4,5,"CRM","crm_cumu_crm",45,2,0.3,0.6,52.9281,44.5064,8.4217
4,5,"CRM","crm_cumu_crm",45,2,0.6,0.9,44.5064,38.5388,5.9676
4,5,"CRM","crm_cumu_crm",45,2,0.9,1.2,38.5388,32.0134,6.5254
4,5,"CRM","crm_cumu_crm",45,2,1.2,1.5,32.0134,25.7669,6.2465
4,5,"CRM","crm_fixed",45,3,0,0.3,39.5427,26.5477,12.995
4,5,"CRM","crm_fixed",45,3,0.3,0.6,26.5477,17.3452,9.2025
4,5,"CRM","crm_fixed",45,3,0.6,0.9,17.3452,10.0948,7.2504
4,5,"CRM","crm_random",45,3,0,0.3,43.8929,33.2404,10.6525
4,5,"CRM","crm_random",45,3,0.3,0.6,33.2404,25.0976,8.1428
4,5,"CRM","crm_random",45,3,0.6,0.9,25.0976,16.7317,8.3659
4,5,"CRM","crm_level",45,3,0,0.3,45.7892,34.077,11.7122
4,5,"CRM","crm_level",45,3,0.3,0.6,34.077,23.5917,10.4853
4,5,"CRM","crm_level",45,3,0.6,0.9,23.5917,16.2298,7.3619
4,5,"CRM","crm_level",45,3,0.9,1.2,16.2298,9.4813,6.7485
4,5,"CRM","crm_alpha_crm",45,3,0,0.3,52.5376,43.1121,9.4255
4,5,"CRM","crm_alpha_crm",45,3,0.3,0.6,43.1121,33.2962,9.8159
4,5,"CRM","crm_alpha_crm",45,3,0.6,0.9,33.2962,25.4322,7.864
4,5,"CRM","crm_alpha_crm",45,3,0.9,1.2,25.4322,18.7395,6.6927
4,5,"CRM","crm_alpha_crm",45,3,1.2,1.5,18.7395,12.7161,6.0234
4,5,"CRM","crm_cumu_crm",45,3,0,0.3,64.1383,55.7167,8.4216
4,5,"CRM","crm_cumu_crm",45,3,0.3,0.6,55.7167,45.343,10.3737
4,5,"CRM","crm_cumu_crm",45,3,0.6,0.9,45.343,36.754,8.58900000000001
4,5,"CRM","crm_cumu_crm",45,3,0.9,1.2,36.754,28.3882,8.3658
4,5,"CRM","crm_cumu_crm",45,3,1.2,1.5,28.3882,20.4685,7.9197
5,2,"CRM","crm_fixed",45,2,0.9,1.2,30.2844,22.6994,7.585
5,2,"CRM","crm_fixed",45,2,1.2,1.5,22.6994,15.5605,7.1389
5,2,"CRM","crm_random",45,2,0.9,1.2,30.1729,24.1495,6.0234
5,2,"CRM","crm_level",45,2,0.9,1.2,32.5153,26.6592,5.8561
5,2,"CRM","crm_level",45,2,1.2,1.5,26.6592,20.6358,6.0234
5,2,"CRM","crm_alpha_crm",45,2,1.2,1.5,25.7669,19.855,5.9119
5,2,"CRM","crm_fixed",45,3,0.9,1.2,30.7306,23.3129,7.4177
5,2,"CRM","crm_fixed",45,3,1.2,1.5,23.3129,14.8912,8.4217
5,2,"CRM","crm_random",45,3,0.9,1.2,31.5672,25.7111,5.8561
5,2,"CRM","crm_random",45,3,1.2,1.5,25.7111,20.4685,5.2426
5,2,"CRM","crm_level",45,3,1.2,1.5,27.9978,21.0262,6.9716
