"Figure","Alpha","Gap","Method","Metric","Value","Scenarios found","Derived oracle quantity"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.3, 0.7)","Average trial duration","172.99127142857145","9786","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","0.6465","9786","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.3, 0.7)","MTD selection","57.9726","9935","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.3, 0.7)","MTD allocation","41.254000000000005","9935","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.3, 0.7)","Overdose selection","22.9714","9935","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.3, 0.7)","Overdose allocation","25.763333333333332","9935","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.3, 0.7)","Average sample size","22.2534","9935","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.3, 0.7)","Average trial duration","174.43144285714286","9935","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.3, 0.7)","Absolute MTD-selection change vs oracle","3.925","9935","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.5, 0.5)","MTD selection","34.5447","9890","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.5, 0.5)","MTD allocation","27.888","9890","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.5, 0.5)","Overdose selection","31.4843","9890","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.5, 0.5)","Overdose allocation","25.699","9890","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.5, 0.5)","Average sample size","21.8357","9890","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.5, 0.5)","Average trial duration","171.05857142857144","9890","false"
"Random prior sensitivity","0.3","0.05","Discount CRM (0.5, 0.5)","Absolute MTD-selection change vs oracle","5.396","9890","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.5, 0.5)","MTD selection","49.0879","9786","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.5, 0.5)","MTD allocation","35.82833333333333","9786","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.5, 0.5)","Overdose selection","29.0431","9786","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.5, 0.5)","Overdose allocation","27.408","9786","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.5, 0.5)","Average sample size","22.0687","9786","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.5, 0.5)","Average trial duration","172.9337857142857","9786","false"
"Random prior sensitivity","0.3","0.10","Discount CRM (0.5, 0.5)","Absolute MTD-selection change vs oracle","1.1973","9786","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.5, 0.5)","MTD selection","57.3131","9935","false"
"Random prior sensitivity","0.3","0.15","Discount CRM (0.5, 0.5)","MTD allocation","40.59433333333333","9935","false"
