"Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","Alpha_true","r_carry","Accrual","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat_raw","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files"
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.3,0.2,0.5,3,0.17,0.206,0.0649,NA,NA,0.2,12.3406,6.7236,6.7236,0.4273,30,22.2223,0,72.1443,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.3,0.2,0.5,4,0.22,0.271,0.1209,NA,NA,0.2,23.1515,5.4233,5.4233,3.4431,30,22.2223,0,72.1443,1961,1961
1,"BOIN","approx2-r_fixed","approx2","r_fixed",NA,0.3,0.2,0.5,5,0.3,0.366,0.2853,NA,NA,0.2,61.5502,9.6288,9.6288,0.6747,30,22.2223,0,72.1443,1961,1961
1,"BOIN","approx1-r_mle","approx1","r_mle",NA,0.6,0.1,0.5,1,0.07,0.07,0.0109,0.0924,0.0662,0.0288,1.05,4.4295,4.4295,0,30,20.8335,0,69.2888,2000,2000
1,"BOIN","approx1-r_mle","approx1","r_mle",NA,0.6,0.1,0.5,2,0.12,0.162,0.0399,0.0906,0.075,0.028,5.55,5.829,5.829,3.401,30,20.8335,0,69.2888,2000,2000
1,"BOIN","approx1-r_mle","approx1","r_mle",NA,0.6,0.1,0.5,3,0.17,0.242,0.0922,0.0786,0.1166,0.0304,19.45,7.3455,7.3455,1.444,30,20.8335,0,69.2888,2000,2000
1,"BOIN","approx1-r_mle","approx1","r_mle",NA,0.6,0.1,0.5,4,0.22,0.322,0.1698,0.1395,0.1481,0.0578,30.95,6.3885,6.3885,2.9345,30,20.8335,0,69.2888,2000,2000
1,"BOIN","approx1-r_mle","approx1","r_mle",NA,0.6,0.1,0.5,5,0.3,0.432,0.2997,0.1203,0.2401,0.0511,43,6.0075,6.0075,1.387,30,20.8335,0,69.2888,2000,2000
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,1,0.07,0.07,0.0127,NA,NA,0,1.2,4.4685,4.4685,0,30,20.484,0,68.6971,2000,2000
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,2,0.12,0.162,0.0479,NA,NA,0,7.6,6.3945,6.3945,3.5855,30,20.484,0,68.6971,2000,2000
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,3,0.17,0.242,0.1028,NA,NA,0,24.5,7.572,7.572,1.6135,30,20.484,0,68.6971,2000,2000
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,4,0.22,0.322,0.1936,NA,NA,0,33.25,6.6435,6.6435,3.018,30,20.484,0,68.6971,2000,2000
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0,0.5,5,0.3,0.432,0.317,NA,NA,0,33.45,4.9215,4.9215,1.299,30,20.484,0,68.6971,2000,2000
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0.1,0.5,1,0.07,0.07,0.0105,NA,NA,0.1,1.1219,4.4595,4.4595,0,30,20.23,0,68.159,1961,1961
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0.1,0.5,2,0.12,0.162,0.032,NA,NA,0.1,5.9153,6.1713,6.1713,3.5798,30,20.23,0,68.159,1961,1961
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0.1,0.5,3,0.17,0.242,0.0903,NA,NA,0.1,23.0495,7.5987,7.5987,1.6665,30,20.23,0,68.159,1961,1961
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0.1,0.5,4,0.22,0.322,0.1667,NA,NA,0.1,32.1775,6.6471,6.6471,3.0847,30,20.23,0,68.159,1961,1961
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.6,0.1,0.5,5,0.3,0.432,0.3003,NA,NA,0.1,37.7358,5.1234,5.1234,1.4391,30,20.23,0,68.159,1961,1961
