"scenario","alpha_true","replicate","r_hat_used","r_hat_mean","r_hat_map","r_hat_sd","dose","nR","yR","nI","yI","p_true","q_true","obs_pooled","p_pool_plugin","p_mle_plugin"
"sce1",1.5,10,0.986733825819846,0.986733825819846,0,0.00315182277716061,4,100,46,100,100,0.45,1,0.73,0.73,0.463322351233715
"sce1",1.5,10,0.986733825819846,0.986733825819846,0,0.00315182277716061,5,100,56,100,100,0.5,1,0.78,0.78,0.563282433957578
"sce2",1.2,1,0.987058974586554,0.987058974586554,0,0.00318467862107681,1,100,15,100,100,0.15,1,0.575,0.575,0.151683679608302
"sce2",1.2,1,0.987058974586554,0.987058974586554,0,0.00318467862107681,2,100,32,100,100,0.3,1,0.66,0.66,0.322854169604062
"sce2",1.2,1,0.987058974586554,0.987058974586554,0,0.00318467862107681,3,100,35,100,100,0.38,1,0.675,0.675,0.352980495496723
"sce2",1.2,1,0.987058974586554,0.987058974586554,0,0.00318467862107681,4,100,35,100,100,0.45,1,0.675,0.675,0.352980495496723
"sce2",1.2,1,0.987058974586554,0.987058974586554,0,0.00318467862107681,5,100,55,100,100,0.55,1,0.775,0.775,0.553217207788289
"sce2",1.2,2,0.986831204500779,0.986831204500779,0,0.00316935997836196,1,100,14,100,100,0.15,1,0.57,0.57,0.141619142947375
"sce2",1.2,2,0.986831204500779,0.986831204500779,0,0.00316935997836196,2,100,34,100,100,0.3,1,0.67,0.67,0.342993473736499
"sce2",1.2,2,0.986831204500779,0.986831204500779,0,0.00316935997836196,3,100,41,100,100,0.38,1,0.705,0.705,0.413217888208711
"sce2",1.2,2,0.986831204500779,0.986831204500779,0,0.00316935997836196,4,100,51,100,100,0.45,1,0.755,0.755,0.513311086669395
"sce2",1.2,2,0.986831204500779,0.986831204500779,0,0.00316935997836196,5,100,56,100,100,0.55,1,0.78,0.78,0.563258241886198
"sce2",1.2,3,0.986811107509484,0.986811107509484,0,0.00316628111034755,1,100,14,100,100,0.15,1,0.57,0.57,0.141621666299841
