"scenario","alpha_true","r_hat_mean","r_hat_map","r_hat_sd","dose","nR","yR","nI","yI","p_true","q_true","obs_pooled","p_pool_plugin","p_mle_plugin"
"target_middle_8dose",0.1,0.0971043838189141,0.0908089751234355,0.0490400592147348,3,25,4,18,6,0.18,0.262,0.232558139534884,0.202544816483712,0.192097167121702
"target_middle_8dose",0.1,0.0971043838189141,0.0908089751234355,0.0490400592147348,4,22,2,20,7,0.24,0.316,0.214285714285714,0.18099712780634,0.157233942006707
"target_middle_8dose",0.1,0.0971043838189141,0.0908089751234355,0.0490400592147348,5,20,7,22,7,0.3,0.37,0.333333333333333,0.294923425857132,0.302889057304885
"target_middle_8dose",0.1,0.0971043838189141,0.0908089751234355,0.0490400592147348,6,18,5,25,8,0.38,0.442,0.302325581395349,0.259806707072856,0.262438146105443
"target_middle_8dose",0.1,0.0971043838189141,0.0908089751234355,0.0490400592147348,7,15,5,28,13,0.48,0.532,0.418604651162791,0.381087997348826,0.37676339810839
"target_middle_8dose",0.1,0.0971043838189141,0.0908089751234355,0.0490400592147348,8,12,9,30,17,0.6,0.64,0.619047619047619,0.585759032568244,0.593839480314025
"target_middle_8dose",0.25,0.286105159590737,0.287976579849652,0.0580116263209462,1,30,0,12,5,0.08,0.31,0.119047619047619,0.0522531970039099,0
"target_middle_8dose",0.25,0.286105159590737,0.287976579849652,0.0580116263209462,2,28,4,15,5,0.12,0.34,0.209302325581395,0.116100806450638,0.133788940367696
"target_middle_8dose",0.25,0.286105159590737,0.287976579849652,0.0580116263209462,3,25,5,18,7,0.18,0.385,0.27906976744186,0.176548096398028,0.189481981680282
"target_middle_8dose",0.25,0.286105159590737,0.287976579849652,0.0580116263209462,4,22,7,20,8,0.24,0.43,0.357142857142857,0.242638133639356,0.27531963262473
"target_middle_8dose",0.25,0.286105159590737,0.287976579849652,0.0580116263209462,5,20,2,22,13,0.3,0.475,0.357142857142857,0.271264314515231,0.184090286908892
"target_middle_8dose",0.25,0.286105159590737,0.287976579849652,0.0580116263209462,6,18,5,25,14,0.38,0.535,0.441860465116279,0.339338794072446,0.318081692292415
"target_middle_8dose",0.25,0.286105159590737,0.287976579849652,0.0580116263209462,7,15,6,28,18,0.48,0.61,0.558139534883721,0.464938015752964,0.44953341237702
"target_middle_8dose",0.25,0.286105159590737,0.287976579849652,0.0580116263209462,8,12,7,30,18,0.6,0.7,0.595238095238095,0.480733371734594,0.499855981843106
"target_middle_8dose",0.4,0.523865808531126,0.538943584620747,0.0456257641927044,1,30,3,12,5,0.08,0.448,0.19047619047619,0.00710148298214002,0.0904149785110982
