"scenario","alpha_true","dose","n_reps","p_true","q_true","mean_yR","mean_yI","mean_obs_pooled","sd_obs_pooled","mean_p_pool_plugin","sd_p_pool_plugin","bias_p_pool_plugin","mean_p_mle_plugin","sd_p_mle_plugin","bias_p_mle_plugin","mean_r_hat","sd_r_hat","mean_r_hat_posterior_mean","mean_r_hat_map"
"sce2",0.6,3,1000,0.3,0.72,29.882,72.21,0.51046,0.0319618516353474,0.301739440450887,0.058517609064994,0.00173944045088657,0.29963615952637,0.0436071938242754,-0.00036384047363027,0.599957712600192,0.0298836486907663,0.599957712600192,0
"sce2",0.6,4,1000,0.35,0.74,34.937,74.287,0.54612,0.0322348365078014,0.352914337445573,0.058273599579681,0.00291433744557335,0.350546981013396,0.0446259494620315,0.000546981013395591,0.599957712600192,0.0298836486907663,0.599957712600192,0
"sce2",0.6,5,1000,0.45,0.78,45.085,78.044,0.615645,0.0323644315789947,0.45095056442047,0.0559665125033043,0.000950564420470491,0.450736801300344,0.0456515389413703,0.000736801300344275,0.599957712600192,0.0298836486907663,0.599957712600192,0
"sce2",0.9,1,1000,0.15,0.915,15.138,91.603,0.533705,0.0228587072140026,0.169404762917199,0.111880823217418,0.0194047629171988,0.151757143749172,0.0354840548404462,0.00175714374917248,0.898408403488254,0.016459578927294,0.898408403488254,0
"sce2",0.9,2,1000,0.2,0.92,20.043,92.111,0.56077,0.023835377597706,0.213484980809389,0.112754872735099,0.0134849808093895,0.200863065493873,0.0406396584396769,0.000863065493872748,0.898408403488254,0.016459578927294,0.898408403488254,0
"sce2",0.9,3,1000,0.3,0.93,30.257,93.085,0.61671,0.0258707401362079,0.312492392308884,0.117924832769259,0.0124923923088839,0.303018651761411,0.0453176893733545,0.00301865176141091,0.898408403488254,0.016459578927294,0.898408403488254,0
"sce2",0.9,4,1000,0.35,0.935,34.938,93.422,0.6418,0.0264775576868612,0.350514745751959,0.113667727449313,0.000514745751959166,0.349456807093172,0.0462886760487164,-0.00054319290682757,0.898408403488254,0.016459578927294,0.898408403488254,0
"sce2",0.9,5,1000,0.45,0.945,44.603,94.505,0.69554,0.0274620203656352,0.451953903127415,0.111135090022829,0.0019539031274145,0.446576161829746,0.0492383479979088,-0.00342383817025449,0.898408403488254,0.016459578927294,0.898408403488254,0
"sce3",0,1,1000,0.15,0.15,14.802,14.898,0.1485,0.0253415112452315,0.143371510295151,0.0258375945782319,-0.00662848970484914,0.143250759704005,0.0259797296842101,-0.00674924029599541,0.0119502692685153,0.012053978582527,0.0119502692685153,0
"sce3",0,2,1000,0.2,0.2,19.91,19.968,0.19939,0.0280252263739887,0.194561256040097,0.028534759015729,-0.00543874395990347,0.194497668676144,0.0286153306545838,-0.00550233132385602,0.0119502692685153,0.012053978582527,0.0119502692685153,0
"sce3",0,3,1000,0.3,0.3,29.754,29.873,0.298135,0.0338480792286278,0.29391294441656,0.0341756102337453,-0.00608705558343975,0.293861776284206,0.0341599009044296,-0.00613822371579408,0.0119502692685153,0.012053978582527,0.0119502692685153,0
"sce3",0,4,1000,0.35,0.35,34.703,34.697,0.347,0.0339492643889754,0.343054857265352,0.0343618574273988,-0.00694514273464811,0.343041942321451,0.0343879856868301,-0.00695805767854882,0.0119502692685153,0.012053978582527,0.0119502692685153,0
"sce3",0,5,1000,0.45,0.45,44.749,45.053,0.44901,0.034929786572351,0.445706580104018,0.0353292971953259,-0.0042934198959823,0.445638310143719,0.0353482790513931,-0.0043616898562808,0.0119502692685153,0.012053978582527,0.0119502692685153,0
"sce3",0.3,1,1000,0.15,0.405,14.941,40.419,0.2768,0.0294699589154528,0.149224822431218,0.0381369917597469,-0.000775177568781731,0.149271171046003,0.033500346915643,-0.000728828953997368,0.299367507090047,0.036702285346877,0.299367507090047,0
"sce3",0.3,2,1000,0.2,0.44,19.966,44.247,0.321065,0.0303555964730927,0.20165175175859,0.0389884840775526,0.00165175175859024,0.200624211658212,0.0349930897741599,0.000624211658212188,0.299367507090047,0.036702285346877,0.299367507090047,0
"sce3",0.3,3,1000,0.3,0.51,30.012,50.868,0.4044,0.0344808487269227,0.299164395470924,0.0438429753241056,-0.000835604529075806,0.299555235492046,0.040563021780175,-0.000444764507953748,0.299367507090047,0.036702285346877,0.299367507090047,0
"sce3",0.3,4,1000,0.35,0.545,34.977,54.424,0.447005,0.0345332813749653,0.349337925882976,0.0439176359663529,-0.000662074117024099,0.349575587793085,0.0406656224317527,-0.000424412206915386,0.299367507090047,0.036702285346877,0.299367507090047,0
"sce3",0.3,5,1000,0.45,0.615,45.032,61.458,0.53245,0.0354005748639863,0.449922938829755,0.0438262277503588,-7.70611702449088e-05,0.450008105152373,0.0418558274569073,8.10515237297938e-06,0.299367507090047,0.036702285346877,0.299367507090047,0
"sce3",0.6,1,1000,0.15,0.66,15.14,65.927,0.405335,0.0309850423244482,0.151677129252277,0.0574909458388943,0.0016771292522769,0.151395018148326,0.0353857496926627,0.0013950181483258,0.598273785799383,0.0307046969286426,0.598273785799383,0
"sce3",0.6,2,1000,0.2,0.68,19.957,68.034,0.439955,0.0310755315910068,0.201741213058918,0.0568487681880707,0.00174121305891835,0.200027932288496,0.0384763950149969,2.7932288495842e-05,0.598273785799383,0.0307046969286426,0.598273785799383,0
"sce3",0.6,3,1000,0.3,0.72,30.064,72.068,0.51066,0.0329939843456804,0.302497329839549,0.0583423584657734,0.00249732983954906,0.301141051895679,0.0442702015502957,0.00114105189567899,0.598273785799383,0.0307046969286426,0.598273785799383,0
"sce3",0.6,4,1000,0.35,0.74,35.117,73.906,0.545115,0.0329187700320109,0.350331264049981,0.0587070635185288,0.000331264049981005,0.351018961118389,0.0449140282279003,0.00101896111838942,0.598273785799383,0.0307046969286426,0.598273785799383,0
"sce3",0.6,5,1000,0.45,0.78,45.112,78.14,0.61626,0.0320911552026761,0.453041029369595,0.0562113505584777,0.00304102936959523,0.451826443588454,0.0462057871252685,0.00182644358845351,0.598273785799383,0.0307046969286426,0.598273785799383,0
