"scenario","alpha_true","dose","n_reps","p_true","q_true","mean_yR","mean_yI","mean_obs_pooled","sd_obs_pooled","mean_p_pool_plugin","sd_p_pool_plugin","bias_p_pool_plugin","mean_p_mle_plugin","sd_p_mle_plugin","bias_p_mle_plugin","mean_p_crm_random","sd_p_crm_random","bias_p_crm_random","mean_r_hat","sd_r_hat","mean_r_hat_posterior_mean","mean_r_hat_map","mean_r_hat_crm_random","sd_r_hat_crm_random"
"sce3",0,5,100,0.45,0.45,4.21,4.27,0.471111111111111,0.118307893652374,0.454720692452858,0.121133377057549,0.00472069245285759,0.453646419066253,0.123379632852996,0.00364641906625306,0.445565960784936,0.0548440816696018,-0.0044340392150638,0.0598349615831949,0.0545798583731568,0.0598349615831949,0,0.0739207971069338,0.0621562211617676
"sce3",0.3,1,100,0.15,0.15,1.33,1.27,0.144444444444444,0.0868595511078413,0.10971345139423,0.0889443973452936,-0.0402865486057699,0.118107074252084,0.0868537842630408,-0.0318929257479159,0.180368800777065,0.0422678960389866,0.0303688007770647,0.0794011063103351,0.0683095499030149,0.0794011063103351,0,0.0713643875683871,0.0621703962461696
"sce3",0.3,2,100,0.2,0.245,1.8,2.23,0.223888888888889,0.107533595906858,0.191184645649647,0.115573913232348,-0.00881535435035302,0.18852638774458,0.119135907701093,-0.01147361225542,0.232213685446146,0.0466693330161927,0.0322136854461459,0.0794011063103351,0.0683095499030149,0.0794011063103351,0,0.0713643875683871,0.0621703962461696
"sce3",0.3,3,100,0.3,0.36,2.94,3.16,0.338888888888889,0.114019183085502,0.310289100418212,0.12109314145207,0.0102891004182123,0.312557659682308,0.117859605461562,0.0125576596823085,0.332911218144024,0.0508483875110817,0.0329112181440242,0.0794011063103351,0.0683095499030149,0.0794011063103351,0,0.0713643875683871,0.0621703962461696
"sce3",0.3,4,100,0.35,0.44,3.08,4.13,0.400555555555556,0.108641178193178,0.37675096908052,0.117577346805189,0.0267509690805203,0.369876260333786,0.122290099628159,0.0198762603337865,0.382269130937631,0.0512269196054082,0.0322691309376315,0.0794011063103351,0.0683095499030149,0.0794011063103351,0,0.0713643875683871,0.0621703962461696
"sce3",0.3,5,100,0.45,0.555,3.99,5.04,0.501666666666667,0.114280007829672,0.48255007573618,0.123063910475688,0.0325500757361799,0.476398265380951,0.126208906811082,0.0263982653809513,0.47966715819435,0.0493964688130559,0.0296671581943497,0.0794011063103351,0.0683095499030149,0.0794011063103351,0,0.0713643875683871,0.0621703962461696
"sce3",0.6,1,100,0.15,0.15,1.26,1.34,0.144444444444444,0.0889870389656735,0.0929462652007825,0.0869983770783503,-0.0570537347992175,0.104027643162065,0.0924107833262916,-0.0459723568379353,0.204108706837608,0.0424949641303883,0.0541087068376084,0.122545029878092,0.0936805151200467,0.122545029878092,0,0.0844175689935062,0.068504561069167
"sce3",0.6,2,100,0.2,0.29,1.93,2.73,0.258888888888889,0.102110171350134,0.209150037684029,0.10848678733753,0.00915003768402884,0.207298003383468,0.113360154695081,0.00729800338346784,0.258218432689299,0.0457924718467702,0.0582184326892988,0.122545029878092,0.0936805151200467,0.122545029878092,0,0.0844175689935062,0.068504561069167
"sce3",0.6,3,100,0.3,0.42,2.74,3.84,0.365555555555556,0.104810115181787,0.324364557629282,0.121517013035666,0.0243645576292823,0.318356159679867,0.120407121229353,0.018356159679867,0.360926954008896,0.0481760825811161,0.0609269540088955,0.122545029878092,0.0936805151200467,0.122545029878092,0,0.0844175689935062,0.068504561069167
"sce3",0.6,4,100,0.35,0.53,3.04,4.59,0.423888888888889,0.117029524968822,0.387107291646177,0.130392530901913,0.0371072916461774,0.379623139384451,0.131089673250593,0.0296231393844515,0.410371464843239,0.047881108830372,0.0603714648432389,0.122545029878092,0.0936805151200467,0.122545029878092,0,0.0844175689935062,0.068504561069167
