"Plot_Alpha","Source_Alpha","Gap","Display_Method","Model","CRM_r_model","CFO_Method","Metric","Raw_Value","Plot_Value","Nmax_eff","n_scenarios_found","n_scenarios_paired_with_oracle"
0.3,0.3,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average trial duration",1211.7867,173.112385714286,30,10000,10000
0.3,0.3,"0.10","IPCRM","CRM","cumu_crm",NA,"Average trial duration",1247.6109,178.230128571429,30,10000,10000
0.3,0.3,"0.10","Discount CRM","CRM","random",NA,"Average trial duration",1203.7996,171.971371428571,30,10000,10000
0.3,0,"0.10","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average trial duration",1207.7772,172.5396,30,10000,10000
0.3,0.3,"0.15","CRM","CRM","r_fixed",NA,"Average trial duration",1217.4261,173.918014285714,30,9980,9980
0.3,0.3,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average trial duration",1223.3437,174.763385714286,30,10000,9980
0.3,0.3,"0.15","IPCRM","CRM","cumu_crm",NA,"Average trial duration",1257.8362,179.690885714286,30,10000,9980
0.3,0.3,"0.15","Discount CRM","CRM","random",NA,"Average trial duration",1215.4026,173.628942857143,30,9980,9980
0.3,0.3,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Average trial duration",1274.9161,182.130871428571,30,9730,9710
0.3,0,"0.15","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"Average trial duration",1218.9829,174.140414285714,30,9980,9980
0.3,0.3,"0.05","CRM","CRM","r_fixed",NA,"MCSE of MTD selection %",0.0458,0.0458,30,10000,10000
0.3,0.3,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"MCSE of MTD selection %",0.0461,0.0461,30,10000,10000
0.3,0.3,"0.05","IPCRM","CRM","cumu_crm",NA,"MCSE of MTD selection %",0.0463,0.0463,30,10000,10000
0.3,0.3,"0.05","Discount CRM","CRM","random",NA,"MCSE of MTD selection %",0.0462,0.0462,30,10000,10000
0.3,0,"0.05","Oracle (CRM, alpha = 0)","CRM","r_fixed",NA,"MCSE of MTD selection %",0.0463,0.0463,30,10000,10000
0.3,0.3,"0.10","CRM","CRM","r_fixed",NA,"MCSE of MTD selection %",0.0479,0.0479,30,10000,10000
0.3,0.3,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"MCSE of MTD selection %",0.0472,0.0472,30,10000,10000
0.3,0.3,"0.10","IPCRM","CRM","cumu_crm",NA,"MCSE of MTD selection %",0.0469,0.0469,30,10000,10000
0.3,0.3,"0.10","Discount CRM","CRM","random",NA,"MCSE of MTD selection %",0.0477,0.0477,30,10000,10000
